repeat,input_tokens,output_tokens,latency_s,output_tokens_per_s,rss_after_mib
3,128,32,4.0561897568404675,7.889177261994299,842.74609375
2,256,32,4.466512612998486,7.164426202866484,846.078125
1,128,16,1.9625459108501673,8.152675517827179,852.83984375
4,256,32,4.329458925873041,7.3912238337143155,851.08984375
3,128,16,2.0072163715958595,7.971238291205758,853.30859375
1,64,32,3.334574844688177,9.596425778529012,853.30859375
0,128,64,7.358891220763326,8.696962365664834,844.62109375
2,64,32,3.433734832331538,9.319298537176705,844.8828125
1,128,64,11.480519641190767,5.5746605554661,842.93359375
2,128,8,1.459978686645627,5.4795320460330785,843.23046875
1,128,8,1.5177652053534985,5.2709074972744165,844.53515625
4,128,32,4.249264178797603,7.530715590635485,853.03125
4,128,64,9.050949716940522,7.071081157396355,853.6875
3,128,8,1.3135927822440863,6.090167446210491,853.6875
2,128,16,2.547109140083194,6.281631104145544,842.93359375
4,128,8,1.4011361673474312,5.709652056976907,843.59375
0,128,32,4.013339905068278,7.973408870648744,853.03125
2,128,32,4.175756385549903,7.663282300360043,845.18359375
3,64,32,3.8288250658661127,8.357655272704742,845.18359375
0,256,32,10.16220542229712,3.1489227653072325,851.8671875
2,128,64,7.529021764174104,8.500440296843859,853.140625
4,128,16,2.229567438364029,7.176279902858729,853.140625
0,128,16,2.1552527993917465,7.423723103162425,844.1640625
4,64,32,3.447209432721138,9.282870862516765,844.87109375
1,128,32,4.055380644276738,7.890751277604689,842.93359375
1,256,32,4.753014054149389,6.732570035652208,861.125
3,128,64,7.114712310954928,8.99544453841873,861.125
0,64,32,3.22251096367836,9.930144648281772,844.68359375
0,128,8,1.2918698210269213,6.192574414069611,843.42578125
3,256,32,4.775576075538993,6.7007622732485395,861.125
